name,lat,lon,str
RIVIERA CATERER 2780 STILLWELL AVENUE New York NY 11224,40.579505,-73.98242,"{lng=-73.98241999999999, lat=40.579505}"
TOV KOSHER KITCHEN 97-22 63 ROAD New York NY 11374,40.7255722,-73.8624893,"{lng=-73.8624893, lat=40.72557219999999}"
THE MOVABLE FEAST 284 PROSPECT PARK WEST New York NY 11215,40.6580753,-73.9829239,"{lng=-73.9829239, lat=40.6580753}"
SABROSURA RESTAURANT 1200 CASTLE HILL AVENUE New York NY 10462,40.832069,-73.8507489,"{lng=-73.8507489, lat=40.832069}"
WILKEN'S FINE FOOD 7114 AVENUE U New York NY 11234,40.619909,-73.9068659,"{lng=-73.9068659, lat=40.619909}"
REGINA CATERERS 6409 11 AVENUE New York NY 11219,40.6310753,-73.9976946,"{lng=-73.9976946, lat=40.6310753}"
C & C CATERING SERVICE 7715 18 AVENUE New York NY 11214,40.6042332,-74.0025999,"{lng=-74.00259989999999, lat=40.6042332}"
SEUDA FOODS 705 KINGS HIGHWAY New York NY 11223,40.6064719,-73.965411,"{lng=-73.965411, lat=40.6064719}"
CARVEL ICE CREAM 203 CHURCH AVENUE New York NY 11218,40.6433361,-73.97818,"{lng=-73.97818, lat=40.6433361}"
THE COUNTRY CAFE 60 WALL STREET New York NY 10005,40.7062054,-74.0085357,"{lng=-74.0085357, lat=40.70620539999999}"
NORDIC DELICACIES 6909 3 AVENUE New York NY 11209,40.6212119,-74.0329499,"{lng=-74.03294989999999, lat=40.6212119}"
SAL'S DELI 129-08 20 AVENUE New York NY 11356,40.7901266,-73.8477874,"{lng=-73.8477874, lat=40.7901266}"
NATHAN'S FAMOUS 1310 SURF AVENUE New York NY 11224,40.5749261,-73.9859414,"{lng=-73.9859414, lat=40.5749261}"
GLORIOUS FOOD 522 EAST 74 STREET New York NY 10021,40.7700703,-73.9580246,"{lng=-73.9580246, lat=40.7700703}"
CARVEL ICE CREAM 265-15 HILLSIDE AVENUE New York NY 11004,40.738689,-73.703234,"{lng=-73.703234, lat=40.73868900000001}"
AGRA RESTAURANT 807 LEXINGTON AVENUE New York NY 10065,40.7641697,-73.9664345,"{lng=-73.96643449999999, lat=40.7641697}"
ARTURO'S 1617 YORK AVENUE New York NY 10028,40.775478,-73.947847,"{lng=-73.947847, lat=40.775478}"
PARIS BLUES 2021 7 AVENUE New York NY 10027,40.8138912,-73.9624327,"{lng=-73.96243270000001, lat=40.8138912}"
GENE'S RESTURANT 73 WEST 11 STREET New York NY 10011,40.7464969,-74.0094471,"{lng=-74.0094471, lat=40.7464969}"
MARIA RISTORANTE 3073 EMMONS AVENUE New York NY 11235,40.5842084,-73.9367146,"{lng=-73.9367146, lat=40.5842084}"
COZY SOUP & BURGER 739 BROADWAY New York NY 10003,40.730003,-73.993406,"{lng=-73.993406, lat=40.730003}"
KOSHER ISLAND 2206 VICTORY BOULEVARD New York NY 10314,40.6119572,-74.1377286,"{lng=-74.1377286, lat=40.6119572}"
DOWNTOWN DELI 107 CHURCH STREET New York NY 10007,40.7132925,-74.0092084,"{lng=-74.00920839999999, lat=40.7132925}"
